sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,is_recid,priors_count.1,jail_time
Male,34,25 - 45,African-American,0,0,0,0,(F3),False Imprisonment,0,0,6540
Male,39,25 - 45,African-American,0,0,0,1,(M1),arrest case no charge,0,1,77820
Male,24,Less than 25,African-American,0,1,0,4,(M1),Battery,0,4,75360
Male,29,25 - 45,African-American,0,0,0,5,(F3),False Name By Person Arrest,1,5,11220
Male,27,25 - 45,Caucasian,0,0,1,1,(F3),arrest case no charge,1,1,21660
Female,24,Less than 25,Hispanic,0,0,0,1,(M2),DUI Property Damage/Injury,0,1,82020
Male,40,25 - 45,African-American,0,0,0,2,(F3),arrest case no charge,0,2,16260
Male,51,Greater than 45,African-American,0,0,0,1,(F3),arrest case no charge,0,1,85920
Male,22,Less than 25,African-American,0,0,0,1,(M1),Battery,1,1,71820
Male,22,Less than 25,Caucasian,0,0,0,0,(F3),Grand Theft in the 3rd Degree,0,0,79680
Female,26,25 - 45,African-American,0,0,0,1,(F2),Poss Cocaine/Intent To Del/Sel,1,1,360
Male,27,25 - 45,Caucasian,0,0,0,1,(F7),Burglary Dwelling Assault/Batt,1,1,30900
Male,32,25 - 45,Caucasian,0,0,0,3,(M1),Driving Under The Influence,0,3,62100
Male,32,25 - 45,African-American,0,0,0,0,(F3),Felony Battery (Dom Strang),0,0,12900
Male,41,25 - 45,African-American,0,0,0,1,(M2),arrest case no charge,0,1,58200
Male,50,Greater than 45,Caucasian,0,0,0,0,(M1),Battery,0,0,48540
Male,30,25 - 45,African-American,0,0,0,8,(M1),Possess Cannabis/20 Grams Or Less,1,8,19980
Male,30,25 - 45,African-American,0,0,0,8,(M1),Possess Cannabis/20 Grams Or Less,1,8,19980
Male,66,Greater than 45,African-American,0,0,0,0,(MO3),arrest case no charge,0,0,8040
Male,52,Greater than 45,African-American,0,0,0,3,(F3),Driving While License Revoked,0,3,5340
Male,22,Less than 25,Caucasian,0,0,0,3,(F3),Burglary Conveyance Unoccup,0,3,73080
Male,50,Greater than 45,Other,0,0,0,0,(F3),arrest case no charge,1,0,71160
Male,25,25 - 45,African-American,1,6,1,14,(F2),arrest case no charge,1,14,12300
Male,25,25 - 45,African-American,1,6,1,14,(F2),arrest case no charge,1,14,12300
Male,20,Less than 25,Other,0,0,0,0,(F3),Tampering With Physical Evidence,1,0,8700
Male,22,Less than 25,African-American,1,0,0,2,(F3),Attempted Burg/struct/unocc,1,2,7200
Male,23,Less than 25,African-American,0,0,1,2,(M2),arrest case no charge,1,2,62040
Male,54,Greater than 45,African-American,0,0,0,6,(F1),arrest case no charge,0,6,61920
Male,40,25 - 45,Caucasian,0,0,0,4,(F3),arrest case no charge,0,4,60420
Male,25,25 - 45,African-American,0,0,0,10,(F2),arrest case no charge,0,10,8760
Female,35,25 - 45,African-American,0,0,0,1,(M2),arrest case no charge,0,1,73020
Male,36,25 - 45,African-American,0,0,0,9,(F2),Deliver Cocaine,1,9,57720
Male,26,25 - 45,Caucasian,0,0,0,7,(F3),Possession Burglary Tools,1,7,9300
Male,21,Less than 25,Other,0,0,0,1,(F3),Grand Theft in the 3rd Degree,1,1,79560
Male,30,25 - 45,Caucasian,0,0,1,6,(F3),Burglary Conveyance Unoccup,0,6,22440
Male,25,25 - 45,Caucasian,0,0,0,9,(F3),Pos Cannabis W/Intent Sel/Del,1,9,86160
Male,25,25 - 45,Caucasian,0,0,0,9,(F3),Pos Cannabis W/Intent Sel/Del,1,9,86160
Male,34,25 - 45,African-American,0,0,0,3,(M1),Battery,0,3,16260
Female,20,Less than 25,Caucasian,0,0,0,0,(F3),"Poss3,4 Methylenedioxymethcath",0,0,51300
Male,39,25 - 45,Caucasian,0,0,0,2,(F3),Possession Of Alprazolam,1,2,67380
Male,66,Greater than 45,Caucasian,0,0,0,3,(F2),Flee/Elude LEO-Agg Flee Unsafe,0,3,27060
Female,54,Greater than 45,Caucasian,0,0,0,0,(M1),DUI Level 0.15 Or Minor In Veh,0,0,24540
Female,44,25 - 45,Hispanic,0,0,0,0,(M1),Battery,0,0,11040
Male,19,Less than 25,African-American,0,0,0,1,(M2),Battery,1,1,8580
Male,24,Less than 25,African-American,0,0,0,1,(F2),arrest case no charge,0,1,25740
Male,30,25 - 45,African-American,0,0,0,1,(F3),Fail To Redeliv Hire/Leas Prop,0,1,80640
Female,39,25 - 45,Caucasian,0,0,0,0,(F3),Aggravated Assault W/Dead Weap,1,0,59460
Female,32,25 - 45,African-American,0,0,0,8,(M1),Battery,0,8,76560
Male,24,Less than 25,Caucasian,0,1,2,8,(F3),False Ownership Info/Pawn Item,1,8,16380
Male,30,25 - 45,Caucasian,0,0,0,0,(F3),Possession Of Methamphetamine,0,0,83880
Male,31,25 - 45,Caucasian,0,0,0,0,(M1),Battery,0,0,83880
Female,39,25 - 45,Caucasian,0,0,0,1,(F3),Possession of Morphine,0,1,74940
Male,59,Greater than 45,African-American,0,0,0,14,(F3),arrest case no charge,1,14,63720
Male,35,25 - 45,Caucasian,0,0,0,7,(F3),Felony Driving While Lic Suspd,0,7,30900
Female,24,Less than 25,Other,0,0,0,0,(F2),Aggrav Battery w/Deadly Weapon,0,0,85800
Male,43,25 - 45,Caucasian,0,0,0,1,(F3),Possession of Cocaine,0,1,3240
Male,21,Less than 25,African-American,1,0,1,2,(F3),Tampering With Physical Evidence,0,2,55080
Female,21,Less than 25,African-American,0,0,0,0,(M1),Battery,0,0,84840
Male,21,Less than 25,African-American,0,0,0,3,(F3),Grand Theft in the 3rd Degree,1,3,23820
Male,27,25 - 45,African-American,0,0,0,0,(F3),Driving While License Revoked,0,0,61800
Male,20,Less than 25,African-American,0,0,0,0,(F3),arrest case no charge,0,0,16380
Male,38,25 - 45,Caucasian,0,0,0,5,(M1),Possess Cannabis/20 Grams Or Less,1,5,72960
Male,27,25 - 45,African-American,0,0,0,3,(F3),Robbery / No Weapon,0,3,10620
Male,34,25 - 45,Caucasian,0,0,0,0,(F3),Aggravated Assault w/Firearm,0,0,79800
Male,30,25 - 45,African-American,0,0,0,3,(F3),Possession of Cocaine,0,3,86340
Male,33,25 - 45,African-American,0,0,0,5,(F3),Poss Contr Subst W/o Prescript,1,5,24720
Male,37,25 - 45,African-American,0,0,0,3,(F3),"Poss3,4 Methylenedioxymethcath",0,3,23520
Male,42,25 - 45,Caucasian,0,0,0,1,(F3),Aggrav Stalking After Injunctn,1,1,78600
Male,41,25 - 45,African-American,0,1,0,10,(F3),Possession of Cocaine,1,10,840
Male,22,Less than 25,African-American,0,0,0,0,(F3),Uttering a Forged Instrument,1,0,75840
Male,33,25 - 45,African-American,0,12,2,28,(F3),Driving While License Revoked,1,28,72060
Male,44,25 - 45,Caucasian,0,0,0,0,(M2),Criminal Mischief Damage <$200,0,0,19980
Male,31,25 - 45,African-American,0,0,0,1,(M1),Battery,0,1,16260
Male,26,25 - 45,African-American,0,0,0,9,(F3),Felony Driving While Lic Suspd,0,9,84480
Female,30,25 - 45,Other,0,0,0,1,(F3),Crim Use of Personal ID Info,0,1,9720
Male,31,25 - 45,Caucasian,0,0,0,13,(F3),arrest case no charge,1,13,22440
Male,27,25 - 45,African-American,0,0,0,3,(F3),Possession of Cocaine,1,3,83940
Female,31,25 - 45,Caucasian,0,0,0,1,(F3),Grand Theft (Motor Vehicle),0,1,3540
Male,47,Greater than 45,Hispanic,0,0,0,2,(F3),Grand Theft in the 3rd Degree,0,2,81000
Male,56,Greater than 45,African-American,0,0,0,8,(F3),arrest case no charge,0,8,82980
Male,33,25 - 45,Asian,0,0,0,2,(MO3),Failure To Pay Taxi Cab Charge,0,2,77160
Male,52,Greater than 45,Caucasian,0,0,0,3,(M1),Battery,0,3,54660
Male,33,25 - 45,African-American,0,0,0,19,(F3),arrest case no charge,1,19,74880
Male,61,Greater than 45,Caucasian,0,0,0,0,(F3),Obstruct Officer W/Violence,0,0,5640
Female,64,Greater than 45,Caucasian,0,0,0,2,(M1),Resist/Obstruct W/O Violence,0,2,77160
Male,22,Less than 25,Caucasian,0,0,0,4,(F3),Possession Of Alprazolam,1,4,19680
Male,42,25 - 45,Caucasian,0,0,0,6,(F3),Possession Of Alprazolam,0,6,75600
Female,25,25 - 45,Caucasian,0,0,0,2,(F3),arrest case no charge,0,2,3420
Male,27,25 - 45,Caucasian,0,0,0,0,(F3),Grand Theft in the 3rd Degree,0,0,17520
Male,30,25 - 45,Caucasian,0,0,0,1,(M2),Agg Fleeing and Eluding,0,1,70320
Female,37,25 - 45,Other,0,0,0,2,(M2),Petit Theft,0,2,62880
Male,21,Less than 25,Caucasian,0,0,0,1,(F3),Possession of Cannabis,0,1,11700
Male,28,25 - 45,Caucasian,0,0,0,0,(M2),Disorderly Intoxication,1,0,76680
Female,24,Less than 25,African-American,0,0,0,0,(M1),Battery,0,0,38100
Male,37,25 - 45,African-American,0,0,0,13,(F3),arrest case no charge,0,13,10440
Male,22,Less than 25,African-American,0,0,0,0,(F2),Burglary Unoccupied Dwelling,0,0,71400
Female,29,25 - 45,Caucasian,0,1,0,10,(F3),Grand Theft in the 3rd Degree,1,10,8580
Female,25,25 - 45,Caucasian,0,0,0,0,(F3),Uttering a Forged Instrument,0,0,69000
Male,44,25 - 45,Caucasian,0,0,0,2,(M1),Battery,1,2,84420
Female,30,25 - 45,Hispanic,0,0,0,4,(F3),Battery on Law Enforc Officer,1,4,27840
Male,32,25 - 45,African-American,0,0,0,3,(F3),Possession of Cocaine,1,3,5400
Male,53,Greater than 45,Hispanic,0,0,0,1,(F3),Resist Officer w/Violence,0,1,12600
Male,34,25 - 45,Other,0,0,0,1,(M1),Battery,0,1,30120
Male,31,25 - 45,Caucasian,0,0,0,2,(M1),Resist/Obstruct W/O Violence,1,2,11220
Male,27,25 - 45,African-American,0,0,0,5,(F3),Possession of Cocaine,0,5,63240
Male,31,25 - 45,African-American,0,0,0,1,(M2),Lewdness Violation,1,1,5880
Male,59,Greater than 45,Caucasian,0,0,0,1,(F3),Possession of Cocaine,1,1,49980
Male,28,25 - 45,African-American,0,0,0,15,(F2),Poss of Firearm by Convic Felo,0,15,67260
Male,23,Less than 25,Caucasian,0,0,0,0,(M1),Driving Under The Influence,0,0,63540
Female,20,Less than 25,African-American,1,0,0,1,(F3),arrest case no charge,0,1,66600
Male,42,25 - 45,African-American,0,0,0,2,(F2),arrest case no charge,0,2,47220
Female,43,25 - 45,Caucasian,0,0,0,0,(M1),DUI Level 0.15 Or Minor In Veh,0,0,83400
Male,38,25 - 45,African-American,1,1,0,9,(F3),Possession of Cocaine,1,9,11280
Male,32,25 - 45,African-American,0,0,0,11,(F3),Poss Pyrrolidinovalerophenone,1,11,23880
Male,32,25 - 45,African-American,0,0,0,11,(F3),Poss Pyrrolidinovalerophenone,1,11,23880
Male,33,25 - 45,African-American,0,0,0,8,(M2),Assault,1,8,64380
Male,55,Greater than 45,African-American,0,0,0,4,(MO3),arrest case no charge,0,4,20700
Female,31,25 - 45,African-American,0,0,0,0,(F3),Possession of Oxycodone,1,0,67860
Female,33,25 - 45,African-American,0,0,0,7,(F3),Possession of Cocaine,1,7,15480
Male,27,25 - 45,African-American,0,0,0,2,(F3),Tampering With Physical Evidence,1,2,7140
Male,52,Greater than 45,African-American,0,0,0,0,(M2),Assault,0,0,2160
Female,20,Less than 25,African-American,0,0,0,0,(F3),Grand Theft in the 3rd Degree,0,0,13740
Female,26,25 - 45,Caucasian,0,0,0,0,(M2),Fail To Obey Police Officer,0,0,77280
Male,25,25 - 45,African-American,0,0,0,4,(M1),Burglary Dwelling Occupied,0,4,30960
Female,61,Greater than 45,African-American,0,0,0,1,(F3),Solicit Purchase Cocaine,1,1,65340
Male,52,Greater than 45,Other,0,0,0,13,(F3),Felony Petit Theft,1,13,63660
Male,63,Greater than 45,Hispanic,0,0,0,1,(F3),arrest case no charge,0,1,69780
Female,32,25 - 45,African-American,0,0,0,4,(F3),arrest case no charge,1,4,70320
Male,29,25 - 45,Hispanic,0,0,0,1,(F3),Grand Theft in the 3rd Degree,0,1,76500
Female,26,25 - 45,African-American,0,0,0,2,(M1),Driving Under The Influence,1,2,65760
Male,55,Greater than 45,African-American,0,0,0,3,(M1),Battery,0,3,7860
Female,30,25 - 45,Caucasian,0,0,0,3,(F3),Possession Of Carisoprodol,1,3,7320
Male,30,25 - 45,African-American,0,0,0,1,(F7),Burglary Conveyance Assault/Bat,0,1,11040
Male,48,Greater than 45,Caucasian,0,0,0,2,(M1),Battery,0,2,71460
Male,33,25 - 45,Caucasian,0,0,0,0,(M1),Felony Battery (Dom Strang),0,0,70800
Male,22,Less than 25,African-American,0,0,0,1,(F3),arrest case no charge,0,1,74820
Male,46,Greater than 45,Caucasian,0,0,0,6,(F3),Driving While License Revoked,1,6,58140
Male,41,25 - 45,Caucasian,0,0,0,5,(F3),Felony Petit Theft,0,5,76020
Female,49,Greater than 45,Caucasian,0,0,0,6,(F3),Crim Use of Personal ID Info,0,6,1980
Male,31,25 - 45,Caucasian,0,0,0,0,(F3),"Deliver 3,4 Methylenediox",0,0,23220
Male,31,25 - 45,African-American,0,0,0,0,(M1),Battery,0,0,86100
Male,25,25 - 45,African-American,0,0,0,1,(M1),Battery,1,1,79440
Male,31,25 - 45,African-American,0,0,0,3,(F7),Burglary Dwelling Armed,0,3,9600
Female,21,Less than 25,African-American,0,0,0,0,(M1),Battery,0,0,83400
Male,23,Less than 25,Hispanic,0,0,0,0,(F3),"Poss3,4 Methylenedioxymethcath",0,0,3600
Female,32,25 - 45,African-American,0,0,0,5,(F3),Aggravated Assault W/dead Weap,0,5,8760
Male,52,Greater than 45,Hispanic,0,0,0,2,(M2),Leave Acc/Attend Veh/More $50,0,2,6540
Male,62,Greater than 45,African-American,0,0,0,8,(F3),Possession of Cocaine,0,8,56580
Male,30,25 - 45,African-American,0,0,0,2,(M1),Battery,0,2,67560
Female,37,25 - 45,Caucasian,0,0,0,6,(F3),Possession of Cocaine,0,6,74040
Male,55,Greater than 45,Caucasian,0,0,0,1,(F3),Grand Theft in the 3rd Degree,0,1,28440
Male,31,25 - 45,Hispanic,0,0,0,8,(F3),arrest case no charge,1,8,19500
Male,28,25 - 45,African-American,0,0,0,6,(M1),Resist/Obstruct W/O Violence,1,6,59940
Male,54,Greater than 45,Hispanic,0,0,0,2,(F2),Burglary Unoccupied Dwelling,0,2,32880
Male,58,Greater than 45,Hispanic,0,0,0,0,(F3),Possession Of Heroin,0,0,58740
Male,78,Greater than 45,Caucasian,0,0,0,1,(M1),Driving Under The Influence,1,1,74040
Male,56,Greater than 45,Caucasian,0,0,0,0,(F3),Possession of Cocaine,0,0,14160
Male,21,Less than 25,Hispanic,0,0,0,1,(M1),Possess Cannabis/20 Grams Or Less,0,1,22200
Male,24,Less than 25,Other,0,0,0,0,(F2),Burglary Unoccupied Dwelling,0,0,84240
Male,38,25 - 45,African-American,2,2,1,22,(F3),Child Abuse,1,22,80820
Male,39,25 - 45,African-American,0,0,0,3,(MO3),Poss Of Controlled Substance,0,3,22560
Male,35,25 - 45,Caucasian,0,0,0,0,(F3),Possession of Cocaine,0,0,68340
Male,22,Less than 25,African-American,0,0,0,1,(F3),Pos Cannabis W/Intent Sel/Del,1,1,120
Male,47,Greater than 45,African-American,0,0,0,23,(M1),Possess Cannabis/20 Grams Or Less,1,23,74820
Male,23,Less than 25,African-American,0,0,0,0,(M1),Battery,1,0,3240
Male,57,Greater than 45,Hispanic,0,0,0,1,(F3),Driving While License Revoked,0,1,60300
Female,38,25 - 45,Caucasian,0,0,0,2,(F3),Possession of Cocaine,1,2,85620
Male,66,Greater than 45,African-American,0,0,0,3,(F2),Agg Battery Grt/Bod/Harm,1,3,1260
Male,45,Greater than 45,Caucasian,0,0,0,8,(M1),Viol Injunct Domestic Violence,1,8,6000
Female,28,25 - 45,Caucasian,0,0,0,0,(M1),Petit Theft $100- $300,0,0,14220
Male,45,Greater than 45,Other,0,0,0,2,(F3),Unlaw Fail Secur Work Comp Ins,0,2,10860
Male,32,25 - 45,African-American,0,0,0,13,(F2),Poss Cocaine/Intent To Del/Sel,1,13,14100
Male,37,25 - 45,African-American,0,0,0,2,(M1),Battery,1,2,18780
Male,39,25 - 45,Caucasian,0,0,0,0,(F3),Possession Of Methamphetamine,1,0,79740
Male,26,25 - 45,African-American,0,0,0,9,(F2),Deliver Cocaine,1,9,25560
Male,25,25 - 45,African-American,0,0,0,3,(F3),arrest case no charge,0,3,2640
Male,45,Greater than 45,Caucasian,0,0,0,2,(F3),Lewd or Lascivious Molestation,0,2,83760
Female,57,Greater than 45,Caucasian,0,0,0,7,(F3),Possession of Cocaine,0,7,23460
Male,23,Less than 25,African-American,0,0,0,0,(F3),Possession of Cannabis,1,0,84480
Male,34,25 - 45,African-American,0,0,0,2,(M1),Battery,1,2,62100
Male,38,25 - 45,African-American,0,0,0,14,(F3),Possession of Oxycodone,0,14,75480
Female,23,Less than 25,African-American,0,0,0,1,(M1),Battery,0,1,71580
Male,36,25 - 45,Other,0,0,0,2,(M1),Battery,1,2,85260
Male,50,Greater than 45,Caucasian,0,0,0,1,(F3),Sexual Performance by a Child,0,1,63240
Female,37,25 - 45,Caucasian,0,0,0,0,(M2),Leaving Acc/Unattended Veh,0,0,22020
Male,44,25 - 45,Caucasian,0,0,0,4,(M1),Battery,0,4,21000
Female,35,25 - 45,African-American,0,1,0,23,(F3),Felony Petit Theft,1,23,8220
Male,31,25 - 45,Caucasian,0,0,0,1,(F1),arrest case no charge,0,1,30600
Male,24,Less than 25,Other,0,0,0,5,(F3),arrest case no charge,1,5,73500
Male,40,25 - 45,Asian,0,0,0,3,(F1),Robbery W/Firearm,0,3,73920
Male,26,25 - 45,African-American,0,0,0,2,(F3),Fleeing Or Attmp Eluding A Leo,1,2,12240
Male,37,25 - 45,Other,0,0,0,1,(F3),Felony DUI (level 3),0,1,4500
Male,27,25 - 45,African-American,0,0,0,0,(M1),Criminal Mischief,0,0,63180
Female,31,25 - 45,Caucasian,0,0,0,1,(M1),Battery,0,1,3960
Female,28,25 - 45,African-American,0,0,0,0,(F2),Aggrav Battery w/Deadly Weapon,0,0,10200
Male,43,25 - 45,Caucasian,0,0,0,11,(F3),arrest case no charge,1,11,19800
Female,28,25 - 45,Caucasian,0,0,0,7,(F3),Felony Petit Theft,1,7,1860
